1788085320390384825,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.42 W, 36, 1100.00 W
1788085320631371384,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.65 W, 36, 1100.00 W
1788085320859084104,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.30 W, 36, 1100.00 W
1788085321089037554,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.26 W, 36, 1100.00 W
1788085321316991634,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.57 W, 36, 1100.00 W
1788085321544749805,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.80 W, 36, 1100.00 W
1788085321770435215,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.52 W, 36, 1100.00 W
1788085321996404561,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.70 W, 36, 1100.00 W
1788085322223669438,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.90 W, 36, 1100.00 W
1788085322452330822,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.98 W, 36, 1100.00 W
1788085322678994063,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.17 W, 36, 1100.00 W
1788085322902568434,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.02 W, 36, 1100.00 W
1788085323126829219,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.13 W, 36, 1100.00 W
1788085323351908766,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.02 W, 36, 1100.00 W
1788085323578260051,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.86 W, 36, 1100.00 W
1788085323803227280,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.91 W, 36, 1100.00 W
1788085324028545865,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.93 W, 36, 1100.00 W
1788085324253384445,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.90 W, 36, 1100.00 W
1788085324478688932,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.90 W, 36, 1100.00 W
1788085324702861768,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.78 W, 36, 1100.00 W
1788085324926239812,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.70 W, 36, 1100.00 W
1788085325151118403,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.51 W, 36, 1100.00 W
1788085325382320706,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.52 W, 36, 1100.00 W
1788085325609763944,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.39 W, 36, 1100.00 W
1788085325838048993,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 273.23 W, 37, 1100.00 W
1788085326064661939,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 303.12 W, 38, 1100.00 W
1788085326290995028,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 332.45 W, 38, 1100.00 W
