H,samples_per_path,baseline_p50_ms,vshard2_p2_p50_ms,vshard4_p1_p50_ms,vshard4_p2_p50_ms,vshard2_p2_over_vshard4_p2_p50_x,vshard4_p2_faster_than_vshard2_p2,vshard2_p2_p95_ms,vshard4_p2_p95_ms,vshard2_p2_p99_ms,vshard4_p2_p99_ms,extension_sha256,source_json,source_json_sha256
32,500,0.8564800024032593,0.6525760293006897,0.648576021194458,0.5848320126533508,1.1158350007893514,True,0.6563599854707718,0.5881983876228333,0.6586582410335541,0.5913977408409119,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h32_bf16_cyclic.json,3566c99beccde616647fc44bbaec34d20979371c97a0bb8e55d32292e21faa58
33,500,0.860480010509491,0.6554880142211914,0.651423990726471,0.5877279937267303,1.1152914634281768,True,0.6661184042692184,0.5975072175264359,0.6714390116930008,0.6034272122383117,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h33_bf16_cyclic.json,68fe65bb6d26b768cbf5c61edaa6670f2f4074f2b56f6f0c5d76a8fa08a5a64a
34,500,0.8619840145111084,0.6566720008850098,0.6531519889831543,0.5892800092697144,1.1143632747678192,True,0.6590415745973587,0.5936975985765457,0.6640038150548935,0.5969347202777863,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h34_bf16_cyclic.json,4bac1d9b5118d4a1ec182f23884d417405bee2daa0e30fb39cc418fc01a70784
35,500,0.8653119802474976,0.659775972366333,0.6565120220184326,0.5917920172214508,1.114878121310383,True,0.6621135979890823,0.594947201013565,0.666341120004654,0.5984534442424774,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h35_bf16_cyclic.json,d897bbc80c2be3bd4340436f2ba3f8c003d7cb9b036280342059d137b98045bc
36,500,0.8681119978427887,0.6631520092487335,0.6593279838562012,0.5957440137863159,1.1131492619355061,True,0.6673952132463455,0.6001984089612961,0.6733078408241272,0.6040963155031204,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h36_bf16_cyclic.json,e7504b8edb3ca0ef6f8f0a718be5b45f4b31045ebd354af6774d2e69b5cf6839
37,500,0.8708480000495911,0.6660799980163574,0.6618559956550598,0.5980319976806641,1.1137865542305472,True,0.6769423842430115,0.6060559898614883,0.6841001391410828,0.6117161393165589,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h37_bf16_cyclic.json,d0c174c6c55d07f5b2b86222bbab7e8bf28f283918c843dbdebcc13ccdc10563
38,500,0.8739839792251587,0.6692479848861694,0.7424319982528687,0.7242879867553711,0.924008125392543,False,0.6789487928152085,0.7313472092151642,0.6865670156478881,0.7377776074409484,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h38_bf16_cyclic.json,165625dfed6aa5f5a84c880df056f48846f792702f635d149703c4a32dc28a4e
39,500,0.8765439987182617,0.6715520024299622,0.7449760138988495,0.7265599966049194,0.9242898116714388,False,0.680097621679306,0.7386895924806595,0.6856326305866242,0.7425667488574982,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h39_bf16_cyclic.json,490ad235e995471e1f44886470ae26ba4630e938a0d0bb707096c2d317f9f76c
40,500,0.8800320029258728,0.6750880181789398,0.7509600222110748,0.7319999933242798,0.9222513993656176,False,0.6860751718282699,0.74030721783638,0.6957449382543563,0.7475219416618347,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h40_bf16_cyclic.json,f9ecdac21a1daecf29e777b205688353590c5095237a04db547c4bab71a99365
41,500,0.8855200111865997,0.6803200244903564,0.756384015083313,0.7359039783477783,0.9244684694024665,False,0.689408004283905,0.742987209558487,0.6945625513792038,0.748963537812233,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h41_bf16_cyclic.json,35d1fa2f4c6dc2336da2127283f3f766adbeb6ef6a95284b3e8c934661188fd9
42,500,0.8873599767684937,0.6823519766330719,0.7586240172386169,0.7395840287208557,0.9226158896552036,False,0.6924848258495331,0.7504496067762375,0.6969405043125152,0.7549852550029754,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h42_bf16_cyclic.json,a0ce0113304209d7a76e290fd627c9f090ae9fb147e4be8b919bcfb65e699925
43,500,0.8882560133934021,0.6834560036659241,0.7593280076980591,0.7398719787597656,0.9237490042690755,False,0.6886784046888351,0.7458447813987732,0.6927177739143371,0.7548499232530594,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h43_bf16_cyclic.json,9e073e2e9f5dcb6966d906f350ecc3bc728a6f68836e39d76bef815a531798e5
44,500,0.8912960290908813,0.686240017414093,0.7623999714851379,0.7435040175914764,0.9229809135895651,False,0.6909168064594269,0.7491071909666062,0.7015487998723984,0.757356807589531,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h44_bf16_cyclic.json,cf3231a630abc0a6babcac10e12e2c3258a02da98ae4b17af00b396be86bcde3
